class,baseline_i_roc,prompt1_i_roc,diff_i_roc,baseline_p_roc,prompt1_p_roc,diff_p_roc
screw,58.66,69.66,11.00,93.12,0.00,-93.12
capsule,79.94,80.89,0.95,96.13,0.00,-96.13
carpet,100.00,100.00,0.00,99.48,0.00,-99.48
leather,100.00,100.00,0.00,99.42,0.00,-99.42
tile,100.00,99.93,-0.07,96.53,0.00,-96.53
grid,99.08,99.00,-0.08,97.81,0.00,-97.81
wood,99.82,99.65,-0.17,95.65,0.00,-95.65
bottle,100.00,99.52,-0.48,98.73,0.00,-98.73
zipper,96.40,95.40,-1.00,94.46,0.00,-94.46
hazelnut,99.93,90.71,-9.22,98.86,0.00,-98.86
pill,95.61,86.35,-9.26,95.45,0.00,-95.45
toothbrush,98.89,89.44,-9.45,98.95,0.00,-98.95
cable,96.38,85.93,-10.45,96.77,0.00,-96.77
metal_nut,100.00,88.86,-11.14,93.76,0.00,-93.76
transistor,89.79,78.29,-11.50,88.66,0.00,-88.66
